year,country,mode,million_usd
2021,Brunei Darussalam,Air,761.0566518965898
2021,Brunei Darussalam,Water,17690.300245793274
2021,Brunei Darussalam,Land,234.3271880555965
2021,Brunei Darussalam,Not elsewhere classified,0.3004477635865056
2021,Brunei Darussalam,Unknown,0.06060465325336364
2021,Brunei Darussalam,Total,18686.0451381623
2021,Cambodia,Air,5493.887714969994
2021,Cambodia,Water,25953.522693650055
2021,Cambodia,Land,10991.710789509998
2021,Cambodia,Not elsewhere classified,0
2021,Cambodia,Unknown,1.05039849
2021,Cambodia,Total,42440.17159662004
2021,Indonesia,Air,32865.36243027305
2021,Indonesia,Water,391971.1801369711
2021,Indonesia,Land,28.463770030000003
2021,Indonesia,Not elsewhere classified,2934.452317968
2021,Indonesia,Unknown,0
2021,Indonesia,Total,427799.45865524217
2021,Lao PDR,Air,1035.2066949900004
2021,Lao PDR,Water,2.9460489199999995
2021,Lao PDR,Land,10297.758099600007
2021,Lao PDR,Not elsewhere classified,2248.910320158429
2021,Lao PDR,Unknown,0
2021,Lao PDR,Total,13584.821163668437
2021,Malaysia,Air,166439.94524176614
2021,Malaysia,Water,298640.7736022887
2021,Malaysia,Land,71656.82360512792
2021,Malaysia,Not elsewhere classified,764.0754516289935
2021,Malaysia,Unknown,0
2021,Malaysia,Total,537501.6179008118
2021,Myanmar,Air,0
2021,Myanmar,Water,20834.266345079875
2021,Myanmar,Land,7629.648214477567
2021,Myanmar,Not elsewhere classified,0
2021,Myanmar,Unknown,0
2021,Myanmar,Total,28463.914559557445
2021,Philippines,Air,75155.612888
2021,Philippines,Water,133428.382255
2021,Philippines,Land,0
2021,Philippines,Not elsewhere classified,41.51
2021,Philippines,Unknown,0
2021,Philippines,Total,208625.50514300002
2021,Singapore,Air,459626.64597630827
2021,Singapore,Water,326753.33520879777
2021,Singapore,Land,73116.66730399207
2021,Singapore,Not elsewhere classified,3349.566504350196
2021,Singapore,Unknown,0
2021,Singapore,Total,862846.2149934483
2021,Thailand,Air,117002.83457641034
2021,Thailand,Water,363861.8239739356
2021,Thailand,Land,59267.81502711996
2021,Thailand,Not elsewhere classified,185.70113885609993
2021,Thailand,Unknown,0
2021,Thailand,Total,540318.1747163221
2021,Viet Nam,Air,NA
2021,Viet Nam,Water,NA
2021,Viet Nam,Land,NA
2021,Viet Nam,Not elsewhere classified,NA
2021,Viet Nam,Unknown,NA
2021,Viet Nam,Total,666544.8783589989
2022,Brunei Darussalam,Air,842.1254399485348
2022,Brunei Darussalam,Water,22220.70481005793
2022,Brunei Darussalam,Land,277.3772585157536
2022,Brunei Darussalam,Not elsewhere classified,0.20384567745789936
2022,Brunei Darussalam,Unknown,0.017420942356222414
2022,Brunei Darussalam,Total,23340.42877514203
2022,Cambodia,Air,6675.049021640001
2022,Cambodia,Water,30901.28956410997
2022,Cambodia,Land,13166.823809660009
2022,Cambodia,Not elsewhere classified,4.21538166
2022,Cambodia,Unknown,0.8509759800000001
2022,Cambodia,Total,50748.22875304998
2022,Indonesia,Air,31495.83195797607
2022,Indonesia,Water,494665.320890872
2022,Indonesia,Land,66.45736134600001
2022,Indonesia,Not elsewhere classified,3123.746382881
2022,Indonesia,Unknown,0
2022,Indonesia,Total,529351.356593075
2022,Lao PDR,Air,994.8061641100003
2022,Lao PDR,Water,12.95661183
2022,Lao PDR,Land,13770.706910857522
2022,Lao PDR,Not elsewhere classified,2401.2965558020137
2022,Lao PDR,Unknown,0
2022,Lao PDR,Total,17179.766242599537
2022,Malaysia,Air,203623.41989810983
2022,Malaysia,Water,368091.86031060794
2022,Malaysia,Land,82859.99886742656
2022,Malaysia,Not elsewhere classified,287.0250901051358
2022,Malaysia,Unknown,0
2022,Malaysia,Total,654862.3041662495
2022,Myanmar,Air,1177.9570302078198
2022,Myanmar,Water,25268.645845986222
2022,Myanmar,Land,8040.237723783833
2022,Myanmar,Not elsewhere classified,0
2022,Myanmar,Unknown,0
2022,Myanmar,Total,34486.84059997788
2022,Philippines,Air,79192.652338
2022,Philippines,Water,144917.252256
2022,Philippines,Land,0
2022,Philippines,Not elsewhere classified,0
2022,Philippines,Unknown,0
2022,Philippines,Total,224109.90459400002
2022,Singapore,Air,499260.5116481925
2022,Singapore,Water,404313.15265407664
2022,Singapore,Land,82483.04106609392
2022,Singapore,Not elsewhere classified,4060.701995499838
2022,Singapore,Unknown,0
2022,Singapore,Total,990117.4073638628
2022,Thailand,Air,129242.96729423398
2022,Thailand,Water,402979.8048536582
2022,Thailand,Land,57540.250445130056
2022,Thailand,Not elsewhere classified,2525.1199344025017
2022,Thailand,Unknown,0
2022,Thailand,Total,592288.1425274247
2022,Viet Nam,Air,218472.60570757507
2022,Viet Nam,Water,453346.1031635006
2022,Viet Nam,Land,42023.96100802414
2022,Viet Nam,Not elsewhere classified,8154.7954162964425
2022,Viet Nam,Unknown,7700.506867127321
2022,Viet Nam,Total,729697.9721625237
