country_name_en,country_code,un_subregion
Afghanistan,AFG,Southern Asia
Albania,ALB,Southern Europe
Algeria,DZA,Northern Africa
American Samoa,ASM,Polynesia
Andorra,AND,Southern Europe
Angola,AGO,Sub-Saharan Africa
Antigua & Barbuda,ATG,Latin America and the Caribbean
Argentina,ARG,Latin America and the Caribbean
Armenia,ARM,Western Asia
Aruba,ABW,Latin America and the Caribbean
Australia,AUS,Australia and New Zealand
Austria,AUT,Western Europe
Azerbaijan,AZE,Western Asia
Bahamas,BHS,Latin America and the Caribbean
Bahrain,BHR,Western Asia
Bangladesh,BGD,Southern Asia
Barbados,BRB,Latin America and the Caribbean
Belarus,BLR,Eastern Europe
Belgium,BEL,Western Europe
Belize,BLZ,Latin America and the Caribbean
Benin,BEN,Sub-Saharan Africa
Bermuda,BMU,Northern America
Bhutan,BTN,Southern Asia
Bolivia,BOL,Latin America and the Caribbean
Bosnia & Herzegovina,BIH,Southern Europe
Botswana,BWA,Sub-Saharan Africa
Brazil,BRA,Latin America and the Caribbean
British Virgin Islands,VGB,Latin America and the Caribbean
Brunei,BRN,South-eastern Asia
Bulgaria,BGR,Eastern Europe
Burkina Faso,BFA,Sub-Saharan Africa
Burundi,BDI,Sub-Saharan Africa
Cambodia,KHM,South-eastern Asia
Cameroon,CMR,Sub-Saharan Africa
Canada,CAN,Northern America
Cape Verde,CPV,Sub-Saharan Africa
Cayman Islands,CYM,Latin America and the Caribbean
Central African Republic,CAF,Sub-Saharan Africa
Chad,TCD,Sub-Saharan Africa
Channel Islands,CHI,
Chile,CHL,Latin America and the Caribbean
China,CHN,Eastern Asia
Colombia,COL,Latin America and the Caribbean
Comoros,COM,Sub-Saharan Africa
Congo - Brazzaville,COG,Sub-Saharan Africa
Congo - Kinshasa,COD,Sub-Saharan Africa
Costa Rica,CRI,Latin America and the Caribbean
Croatia,HRV,Southern Europe
Cuba,CUB,Latin America and the Caribbean
Curaçao,CUW,Latin America and the Caribbean
Cyprus,CYP,Western Asia
Czechia,CZE,Eastern Europe
Côte d’Ivoire,CIV,Sub-Saharan Africa
Denmark,DNK,Northern Europe
Djibouti,DJI,Sub-Saharan Africa
Dominica,DMA,Latin America and the Caribbean
Dominican Republic,DOM,Latin America and the Caribbean
Ecuador,ECU,Latin America and the Caribbean
Egypt,EGY,Northern Africa
El Salvador,SLV,Latin America and the Caribbean
Equatorial Guinea,GNQ,Sub-Saharan Africa
Eritrea,ERI,Sub-Saharan Africa
Estonia,EST,Northern Europe
Eswatini,SWZ,Sub-Saharan Africa
Ethiopia,ETH,Sub-Saharan Africa
Faroe Islands,FRO,Northern Europe
Fiji,FJI,Melanesia
Finland,FIN,Northern Europe
France,FRA,Western Europe
French Polynesia,PYF,Polynesia
Gabon,GAB,Sub-Saharan Africa
Gambia,GMB,Sub-Saharan Africa
Georgia,GEO,Western Asia
Germany,DEU,Western Europe
Ghana,GHA,Sub-Saharan Africa
Gibraltar,GIB,Southern Europe
Greece,GRC,Southern Europe
Greenland,GRL,Northern America
Grenada,GRD,Latin America and the Caribbean
Guam,GUM,Micronesia
Guatemala,GTM,Latin America and the Caribbean
Guinea,GIN,Sub-Saharan Africa
Guinea-Bissau,GNB,Sub-Saharan Africa
Guyana,GUY,Latin America and the Caribbean
Haiti,HTI,Latin America and the Caribbean
Honduras,HND,Latin America and the Caribbean
Hong Kong SAR China,HKG,Eastern Asia
Hungary,HUN,Eastern Europe
Iceland,ISL,Northern Europe
India,IND,Southern Asia
Indonesia,IDN,South-eastern Asia
Iran,IRN,Southern Asia
Iraq,IRQ,Western Asia
Ireland,IRL,Northern Europe
Isle of Man,IMN,Northern Europe
Israel,ISR,Western Asia
Italy,ITA,Southern Europe
Jamaica,JAM,Latin America and the Caribbean
Japan,JPN,Eastern Asia
Jordan,JOR,Western Asia
Kazakhstan,KAZ,Central Asia
Kenya,KEN,Sub-Saharan Africa
Kiribati,KIR,Micronesia
Kosovo,XKX,
Kuwait,KWT,Western Asia
Kyrgyzstan,KGZ,Central Asia
Laos,LAO,South-eastern Asia
Latvia,LVA,Northern Europe
Lebanon,LBN,Western Asia
Lesotho,LSO,Sub-Saharan Africa
Liberia,LBR,Sub-Saharan Africa
Libya,LBY,Northern Africa
Liechtenstein,LIE,Western Europe
Lithuania,LTU,Northern Europe
Luxembourg,LUX,Western Europe
Macao SAR China,MAC,Eastern Asia
Madagascar,MDG,Sub-Saharan Africa
Malawi,MWI,Sub-Saharan Africa
Malaysia,MYS,South-eastern Asia
Maldives,MDV,Southern Asia
Mali,MLI,Sub-Saharan Africa
Malta,MLT,Southern Europe
Marshall Islands,MHL,Micronesia
Mauritania,MRT,Sub-Saharan Africa
Mauritius,MUS,Sub-Saharan Africa
Mexico,MEX,Latin America and the Caribbean
Micronesia (Federated States of),FSM,Micronesia
Moldova,MDA,Eastern Europe
Monaco,MCO,Western Europe
Mongolia,MNG,Eastern Asia
Montenegro,MNE,Southern Europe
Morocco,MAR,Northern Africa
Mozambique,MOZ,Sub-Saharan Africa
Myanmar (Burma),MMR,South-eastern Asia
Namibia,NAM,Sub-Saharan Africa
Nauru,NRU,Micronesia
Nepal,NPL,Southern Asia
Netherlands,NLD,Western Europe
New Caledonia,NCL,Melanesia
New Zealand,NZL,Australia and New Zealand
Nicaragua,NIC,Latin America and the Caribbean
Niger,NER,Sub-Saharan Africa
Nigeria,NGA,Sub-Saharan Africa
North Korea,PRK,Eastern Asia
North Macedonia,MKD,Southern Europe
Northern Mariana Islands,MNP,Micronesia
Norway,NOR,Northern Europe
Oman,OMN,Western Asia
Pakistan,PAK,Southern Asia
Palau,PLW,Micronesia
Palestinian Territories,PSE,Western Asia
Panama,PAN,Latin America and the Caribbean
Papua New Guinea,PNG,Melanesia
Paraguay,PRY,Latin America and the Caribbean
Peru,PER,Latin America and the Caribbean
Philippines,PHL,South-eastern Asia
Poland,POL,Eastern Europe
Portugal,PRT,Southern Europe
Puerto Rico,PRI,Latin America and the Caribbean
Qatar,QAT,Western Asia
Romania,ROU,Eastern Europe
Russia,RUS,Eastern Europe
Rwanda,RWA,Sub-Saharan Africa
Saint Martin (French part),MAF,Latin America and the Caribbean
Samoa,WSM,Polynesia
San Marino,SMR,Southern Europe
Saudi Arabia,SAU,Western Asia
Senegal,SEN,Sub-Saharan Africa
Serbia,SRB,Southern Europe
Seychelles,SYC,Sub-Saharan Africa
Sierra Leone,SLE,Sub-Saharan Africa
Singapore,SGP,South-eastern Asia
Sint Maarten,SXM,Latin America and the Caribbean
Slovakia,SVK,Eastern Europe
Slovenia,SVN,Southern Europe
Solomon Islands,SLB,Melanesia
Somalia,SOM,Sub-Saharan Africa
South Africa,ZAF,Sub-Saharan Africa
South Korea,KOR,Eastern Asia
South Sudan,SSD,Sub-Saharan Africa
Spain,ESP,Southern Europe
Sri Lanka,LKA,Southern Asia
St. Kitts & Nevis,KNA,Latin America and the Caribbean
St. Lucia,LCA,Latin America and the Caribbean
St. Vincent & Grenadines,VCT,Latin America and the Caribbean
Sudan,SDN,Northern Africa
Suriname,SUR,Latin America and the Caribbean
Sweden,SWE,Northern Europe
Switzerland,CHE,Western Europe
Syria,SYR,Western Asia
São Tomé & Príncipe,STP,Sub-Saharan Africa
Taiwan,TWN,
Tajikistan,TJK,Central Asia
Tanzania,TZA,Sub-Saharan Africa
Thailand,THA,South-eastern Asia
Timor-Leste,TLS,South-eastern Asia
Togo,TGO,Sub-Saharan Africa
Tonga,TON,Polynesia
Trinidad & Tobago,TTO,Latin America and the Caribbean
Tunisia,TUN,Northern Africa
Turkey,TUR,Western Asia
Turkmenistan,TKM,Central Asia
Turks & Caicos Islands,TCA,Latin America and the Caribbean
Tuvalu,TUV,Polynesia
U.S. Virgin Islands,VIR,Latin America and the Caribbean
Uganda,UGA,Sub-Saharan Africa
Ukraine,UKR,Eastern Europe
United Arab Emirates,ARE,Western Asia
United Kingdom,GBR,Northern Europe
United States,USA,Northern America
Uruguay,URY,Latin America and the Caribbean
Uzbekistan,UZB,Central Asia
Vanuatu,VUT,Melanesia
Venezuela,VEN,Latin America and the Caribbean
Vietnam,VNM,South-eastern Asia
Yemen,YEM,Western Asia
Zambia,ZMB,Sub-Saharan Africa
Zimbabwe,ZWE,Sub-Saharan Africa
