"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Gross national expenditure (constant 2015 US$)","NE.DAB.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2958447486.03352","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Gross national expenditure (constant 2015 US$)","NE.DAB.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","370185344697.644","384772204267.239","404528178957.658","417643728646.411","430911696779.29","444655627644.418","452509336295.545","465003433492.243","479454045710.324","497912462742.501","526621639071.549","560869452612.028","595451320577.154","646513506938.627","692300438332.992","734004266102.929","737783712564.17","773100635416.01","824356431588.696","868353512547.786","909656724999.539","941163126352.749","963255646413.116","966656049863.345","1001049380859.53","1029439016514.07","1047949607756.26","1021757572930.44","1086888257039.34","1148135808391.14","1184309413557.19","1223984857295.05","",
"Afghanistan","AFG","Gross national expenditure (constant 2015 US$)","NE.DAB.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Gross national expenditure (constant 2015 US$)","NE.DAB.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Gross national expenditure (constant 2015 US$)","NE.DAB.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48853069802.151","52577577654.8013","56299836125.7823","61195292354.0144","65373521941.6986","70608781586.2768","79954218764.0298","83514533746.1336","84696093158.1615","95744039045.7854","102336776749.547","111616105748.495","114859843013.895","105292778101.791","101167846309.617","105912343253.595","108550582762.176","101636275948.309","103866126545.921","113128084171.748","123574953804.631","134313433528.873","141204449642.15","",
"Albania","ALB","Gross national expenditure (constant 2015 US$)","NE.DAB.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5578542029.79172","6490989692.62558","5595836233.74905","5903928437.33845","6403510378.44998","7487519985.23825","8286960457.44691","8830010851.80545","9151773629.49623","9531344476.0022","10073113188.785","10582663588.1836","11626872933.8321","12623896781.0632","12808221174.8398","12582053319.1237","12932045882.8759","12666607814.2097","12767026672.5591","13257622559.2779","13436251353.3582","13952387401.2401","14262901282.7303","14644306831.4199","14950515575.7244","14490407044.7662","15682427697.2839","16313190472.3732","16429101666.7748","17492261046.9523","",
"Andorra","AND","Gross national expenditure (constant 2015 US$)","NE.DAB.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross national expenditure (constant 2015 US$)","NE.DAB.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1116429442808.4","1163864859311.22","1215779990570.89","1265425183018.99","1355289434754.82","1434633109812.12","1586351802147.05","1773416315261.59","1959885281194.35","1974981967059.83","2014613605007.25","2117194135808.39","2255555638265.56","2375946363641.07","2501672389243.42","2545329395899.97","2523271289541.36","2593210763864.85","2652794178371.22","2750644474530.27","2591376500501.84","2733618885317.54","2965569173019.84","3160065063074.25","3271123637465.58","",
"United Arab Emirates","ARE","Gross national expenditure (constant 2015 US$)","NE.DAB.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","193660540863.679","205112434363.004","211724062353.514","228942116299.681","239395682527.257","271079949308.845","317024638909.622","345345931620.074","294194670561.829","248102334740.743","263301364948.262","243205107175.169","256342630893.645","281314148633.755","280745097944.18","286396957154.433","300102394104.325","301746727017.677","319588136668.194","298661932362.693","324047852786.151","405374080537.954","443101523311.355","","",
"Argentina","ARG","Gross national expenditure (constant 2015 US$)","NE.DAB.TOTL.KD","138759047067.057","152223625851.96","146372373267.361","137812687543.418","156700615605.066","168743936327.701","166077097542.009","171375764335.941","180667726661.66","197975446866.633","202150119347.306","215120275354.822","218073435243.177","223425086761.466","236487427846.221","237302838702.299","227684822540.025","242527951294.17","230537813319.857","259985432828.683","277583064092.198","260472609091.403","240333416982.971","248873453124.505","255660652603.045","232594555342.938","254771324846.171","263615052619.685","253001172181.837","231145663088.403","222348950493.022","259448675765.409","300760119040.315","319156998663.685","339710495664.151","321949893457.395","342395621916.06","375224964691.775","389226480659.004","372474595995.936","368663341546.992","345595976291.749","288205091932.698","319215212606.058","355669679630.177","387460357031.966","423641898311.477","470512374449.127","502910115341.799","465338991074.019","529451800306.596","582496170675.81","576512267970.853","599646835686.584","576772680412.315","601142376256.018","592282620115.087","626611560652.452","604365618819.203","553237760431.956","497971829634.266","558959570366.221","608798389276.855","612738048416.662","578197547208.949","",
