dba,boro,cuisine_group,has_critical,has_pest,n_violations,score,grade,pass
PEACEFOOD,Manhattan,Other,No,Yes,1,26,B,Fail
IRVING FARM NEW YORK,Manhattan,Other,No,No,1,34,C,Fail
AEGEA WEST,Queens,Italian/Pizza,No,No,1,7,A,Pass
BUND DUMPLING HOUSE,Queens,Asian,No,No,1,4,C,Fail
PELICANA CHICKEN,Queens,Asian,Yes,No,1,41,C,Fail
BESOS RESTAURANT BAR & LOUNGE,Staten Island,American,Yes,Yes,2,27,B,Fail
KARAVAN GRILL,Brooklyn,Other,Yes,No,1,36,C,Fail
CHIARA PIZZERIA,Brooklyn,Italian/Pizza,No,No,1,7,A,Pass
DOMINO'S,Manhattan,Italian/Pizza,No,No,1,3,A,Pass
CATFISH THE CAT,Manhattan,American,No,No,1,10,A,Pass
EATZY CHINESE,Queens,South Asian,No,No,1,11,A,Pass
BLANK STREET COFFEE,Manhattan,Other,No,Yes,1,11,A,Pass
YANG'S GOOD TASTE,Bronx,Asian,Yes,Yes,1,24,B,Fail
MAH ZE DAHR BAKERY,Manhattan,South Asian,Yes,No,1,7,A,Pass
Gun Hill Post 271,Bronx,American,Yes,Yes,2,21,B,Fail
ZEPPOLA ITALIAN BAKERY,Manhattan,Italian/Pizza,Yes,No,1,22,B,Fail
DIWINE,Queens,American,Yes,Yes,1,7,A,Pass
SUNNY JOHN PIZZA,Brooklyn,Italian/Pizza,Yes,No,1,12,A,Pass
ZEF CAFE,Manhattan,American,Yes,Yes,1,12,A,Pass
LOS 3 POTRILLOS,Queens,Latin,Yes,Yes,1,10,A,Pass
MARACUS CLUB AND RESTAURANT,Queens,American,Yes,No,1,10,A,Pass
HALALBEE'S,Queens,American,Yes,Yes,2,21,B,Fail
HAIFA,Queens,Other,No,No,1,26,B,Fail
DUNKIN,Staten Island,Other,Yes,No,1,12,A,Pass
JUST SALAD,Manhattan,Other,No,Yes,1,13,A,Pass
NYC TIKKA MASALA,Queens,South Asian,Yes,Yes,1,13,A,Pass
NICOLA'S,Manhattan,Italian/Pizza,Yes,Yes,1,11,A,Pass
ITALIAN TOUCH PIZZERIA,Staten Island,Other,Yes,No,1,21,B,Fail
Aloha Highway Deli,Queens,American,Yes,Yes,1,10,A,Pass
FIVE FLIES COFFEE,Manhattan,American,No,Yes,1,11,A,Pass
CHEF QUANG GUYANESE CHINESE EXPRESS,Brooklyn,Other,Yes,Yes,1,13,A,Pass
THE GRAND,Queens,American,Yes,Yes,1,13,A,Pass
KN MI DELICIA BAKERY,Bronx,Other,No,No,1,13,A,Pass
FEITENG CHINESE TAKE OUT KITCHEN,Brooklyn,Asian,No,Yes,1,13,A,Pass
XIN GOLDEN HING CHINESE RESTAURANT,Brooklyn,Asian,No,No,1,17,B,Fail
18 RESTAURANT,Manhattan,Other,No,No,1,12,A,Pass
DELMONICO GOURMET,Manhattan,American,No,Yes,3,46,C,Fail
HO WOK,Staten Island,Asian,Yes,Yes,1,9,A,Pass
FRESCOS PIZZERIA,Manhattan,Italian/Pizza,Yes,No,1,11,A,Pass
MACOSA,Brooklyn,Italian/Pizza,Yes,Yes,2,27,B,Fail
TIGER SUGAR,Queens,Other,Yes,No,1,13,A,Pass
SHAKE SHACK,Manhattan,American,Yes,Yes,1,13,A,Pass
VINNY'S LUNCHBOX,Brooklyn,American,No,No,1,13,A,Pass
AMICI RISTORANTE,Manhattan,Italian/Pizza,Yes,No,2,10,A,Pass
CHINA RESTAURANT,Brooklyn,Asian,No,No,1,12,A,Pass
